קישור, שם, מספר
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157809,"הצעת חוק הרשויות המקומיות (בחירות) (תיקון - ספירת פתקי ההצבעה לראש הרשות תחילה), התשפ'א-2021",פ\24\812
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157550,"הצעת חוק הסדרת העיסוק במקצועות הבריאות (תיקון - הסדרת מקצוע הרנטגנאות והדימות), התשפ'א-2021 ",פ\24\944
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156833,"הצעת חוק זכויות נפגעי עבירה (תיקון - מרכזי טיפול ייעודיים לנפגעות ונפגעי עבירות מין בגירים), התשפ'א-2021",פ\24\994
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157888,"הצעת חוק היקף משרתה של עובדת הוראה לעניין קבלה למעון יום והשתתפות בעלות שכר לימוד במעון יום, התשפ'א-2021 ",פ\24\1018
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156561,"הצעת חוק יישוב סכסוכי עבודה (תיקון - איסור שביתה ללא הודעה מראש), התשפ'א-2021",פ\24\908
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156828,"הצעת חוק זכויות נפגעי עבירה (תיקון - הרחבת זכויות נפגעי עבירות מין למידע על הליכים משפטיים), התשפ'א-2021",פ\24\1000
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157353,"הצעת חוק-יסוד: כבוד האדם וחירותו (תיקון - שיריון זכויות האדם)",פ\24\986
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157518,"הצעת חוק הוראות לעניין עובד שלא התחסן (תיקוני חקיקה), התשפ'א-2021",פ\24\915
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158423,"הצעת חוק הדגל, הסמל והמנון המדינה (תיקון - פגיעה בכבוד דגל המדינה או סמלה), התשפ״א-2021",פ\24\1052
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157579,"הצעת חוק הביטוח הלאומי (תיקון - ביטול דרישה לחתימת הורים כתנאי למשיכת כספי החיסכון), התשפ'א-2021",פ\24\961
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158374,"הצעת חוק הקמת ועדת חקירה ציבורית לאירועי אסון הילולת הרשב'י בהר מירון, התשפ'א-2021",פ\24\1050
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157894,"הצעת חוק לתיקון פקודת התעבורה (איסור העמדת משאיות וחנייתן באזור מגורים בתחום רשות מקומית), התשפ'א-2021",פ\24\808
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158060,"הצעת חוק בדבר סמכויות להשבת פליטים שהשבתם לא מהווה סכנה, התשפ'א-2021",פ\24\818
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157870,"הצעת חוק הביטוח הלאומי (תיקון - פטור לסטודנטים מתשלום דמי ביטוח לאומי), התשפ'א-2021",פ\24\801
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158002,"הצעת חוק אבטחה במוסדות חינוך, התשפ'א-2021",פ\24\757
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156709,"הצעת חוק טוס כחול לבן, התשפ'א-2021",פ\24\838
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156548,"הצעת חוק אי נקיטת הליכים לפני מועדי ישראל (תיקוני חקיקה), התשפ'א-2021",פ\24\886
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157335,"הצעת חוק הספקת החשמל (הוראת שעה) (תיקון - הארכת תוקף), התשפ'א-2021",פ\24\968
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157255,"הצעת חוק לתיקון פקודת הבנקאות (הסכם הלוואה לדיור ללא עמלת היוון בשל פירעון מוקדם), התשפ'א-2021",פ\24\971
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156407,"הצעת חוק הפעלת תחבורה ציבורית בשבת, התשפ'א-2021",פ\24\990
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2157409,"הצעת חוק צירוף משפחות נפגעי טרור כצד להליך המשפטי (תיקוני חקיקה), התשפ'א-2021",פ\24\921
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2158413,"הצעת חוק שלילת זכויות למעורב בטרור (תיקוני חקיקה), התשפ'א-2021",פ\24\1053
